"시도교육청","교육지원청","지역","정보공시 학교코드","학교명","학교급코드","설립구분","학교특성","분교여부","설립유형","주야구분","개교기념일","설립일","법정동코드","주소내역","상세주소내역","우편번호","학교도로명 우편번호","학교도로명 주소","학교도로명 상세주소","위도","경도","전화번호","팩스번호","홈페이지 주소","남녀공학 구분","폐교여부","폐교일자","휴교여부"
"경기도교육청","경기도교육청","경기도 과천시","S090000473","과천여자고등학교","04","사립","일반고등학교","N","단설","주간","19760302","19760302","4129010700","",".","","13805","경기도 과천시 희망길 36","(중앙동,과천여자고등학교)","37.432569","126.988105","02-502-3313","02-502-3315","https://gcwoman-h.goeay.kr/","녀","N","","N"
"경기도교육청","경기도교육청","경기도 과천시","S090000474","과천외국어고등학교","04","사립","특수목적고등학교","N","단설","주간","19900505","19891208","4129010700","경기도 과천시 중앙동","11번지.","427805","13805","경기도 과천시 희망길 36","(중앙동)","37.4318871","126.9883243","02-504-3300","02-502-6653","www.gcfl.or.kr","남녀공학","N","","N"
"경기도교육청","경기도교육청","경기도 과천시","S090000475","과천중앙고등학교","04","공립","일반고등학교","N","단설","주간","20000301","20000301","4129010300","경기도 과천시 갈현동","648번지.","427100","13841","경기도 과천시 교육원로 17",", 과천중앙고등학교 (갈현동)","37.4228013","126.9861875","02-3677-1807","02-3679-5103","gcja-h.goeay.kr","남녀공학","N","","N"
"경기도교육청","경기도교육청","경기도 안양시 동안구","S090000476","경기게임마이스터고등학교","04","공립","특수목적고등학교","N","단설","주간","19950228","19950228","4117310100","경기 안양시 동안구 비산동","412-7.","431821","14043","경기도 안양시 동안구 학의로 70",", 경기게임마이스터고등학교 (비산동)","37.3979595","126.9476526","031-428-5402","031-386-8327","https://ggm-h.goeay.kr","남녀공학","N","","N"
"경기도교육청","경기도교육청","경기도 안양시 동안구","S090000477","관양고등학교","04","공립","일반고등학교","N","단설","주간","20020301","20020301","4117310200","경기도 안양시 동안구 관양1동","523-4번지.","431061","13927","경기도 안양시 동안구 일동로 115","(관양동)","37.40872","126.96016","031-420-9440","031-382-6316","gwanyang-h.goeay.kr","남녀공학","N","","N"
"경기도교육청","경기도교육청","경기도 포천시","S090000478","관인고등학교","04","공립","일반고등학교","N","병설","주간","19711214","19711214","4165040024","경기도 포천시 관인면 탄동리","607-3.","487936","11101","경기도 포천시 관인면 관인로 20","(관인면, 관인중고등학교)","38.158668","127.251163","031-538-8200","031-534-0254","http://kwanin-h.goepc.kr","남녀공학","N","","N"
"경기도교육청","경기도교육청","경기도 남양주시","S090000479","광동고등학교","04","사립","일반고등학교","N","단설","주간","19520715","19520715","4136025321","경기도 남양주시 진접읍 장현리","603-5.","472865","12015","경기도 남양주시 진접읍 장현로광동1길 10",", 광동고등학교 (진접읍, 광동중.고등학교)","37.7164428","127.1766274","031-570-6600","031-570-6610","http://kwangdong-h.goegn.kr","남녀공학","N","","N"
"경기도교육청","경기도교육청","경기도 의정부시","S090000480","의정부광동고등학교","04","사립","일반고등학교","N","단설","주간","19550408","19550408","4115011000","경기도 의정부시 가능동","110-2.","11615","11615","경기도 의정부시 서부로 691","(가능동,의정부광동고등학교)","37.7550098","127.0368566","031-849-5500","031-849-5600","https://ukd-h.goeujb.kr","남녀공학","N","","N"
"경기도교육청","경기도교육청","경기도 광명시","S090000482","광명고등학교","04","공립","일반고등학교","N","단설","주간","19741129","19741129","4121010200","경기도 광명시 철산3동","234번지.","423834","14234","경기도 광명시 오리로876번길 17","(철산동, 광명고등학교)","37.28429","126.51574","02-2680-0583","02-2616-9258","https://gmhs-m.goegm.kr/","남녀공학","N","","N"
"경기도교육청","경기도교육청","경기도 광명시","S090000483","경기항공고등학교","04","사립","특성화고등학교","N","단설","주간","19770507","19770507","4121010100","경기도 광명시 광명7동 광명공고","42-122.","423706","14271","경기도 광명시 새터안로 20","(광명동, 경기항공고)","37.4735124","126.8573108","02-2613-0024","02-2618-5889","https://gahs-h.goegm.kr/gahs-h/main.do","남녀공학","N","","N"
"경기도교육청","경기도교육청","경기도 광명시","S090000484","광명북고등학교","04","공립","일반고등학교","N","단설","주간","19901203","19901203","4121010200","",".","","14225","경기도 광명시 시청로 127","(철산동)","37.488034","126.86641","02-2615-9528","02-2681-6785","https://gmbh-h.goegm.kr/","남녀공학","N","","N"
"경기도교육청","경기도교육청","경기도 광명시","S090000487","명문고등학교","04","공립","일반고등학교","N","단설","주간","19760303","19760303","4121010100","경기도 광명시 광명6동","379-1.","423817","14281","경기도 광명시 광명로812번길 16","(광명동,명문고등학교)","37.470315","126.849874","02-2680-3800","02-2616-0344","https://mm-h.goegm.kr","남녀공학","N","","N"
"경기도교육청","경기도교육청","경기도 광명시","S090000488","창의경영고등학교","04","공립","특성화고등학교","N","단설","주간","19800301","19791121","4121010400","경기도 광명시 소하2동","883번지.","423823","14326","경기도 광명시 기아로13번안길 9-9","(소하동, 광명경영회계고교)","37.4379418","126.8813247","02-898-3395","02-899-4972","https://www.goegm.kr/cem-h/main.do","남녀공학","N","","N"
"경기도교육청","경기도교육청","경기도 광명시","S090000489","광문고등학교","04","공립","일반고등학교","N","단설","주간","19970114","19970114","4121010100","경기도 광명시 광명동","494-1.","423010","14283","경기도 광명시 원광명안로 39","(광명동)","37.4652268","126.8501087","02-2610-2500","02-2685-6286","https://kmoon-h.goegm.kr/","남녀공학","N","","N"
"경기도교육청","경기도교육청","경기도 광주시","S090000490","광주고등학교","04","공립","일반고등학교","N","단설","주간","20010105","20010105","4161010300","경기도 광주시 송정동","35.","464901","12741","경기도 광주시 수하길19번길 43",", 광주고등학교 (송정동)","37.417883","127.265046","031-799-7110","031-768-8676","https://gwangju-h.goegh.kr/","남","N","","N"
"경기도교육청","경기도교육청","경기도 광주시","S090000492","곤지암고등학교","04","공립","일반고등학교","N","단설","주간","19700305","19700305","4161025921","경기도 광주시 곤지암읍 곤지암리","453-12.","464872","12804","경기도 광주시 곤지암읍 곤지암로 82",", 곤지암고등학교 (곤지암읍)","37.348748","127.337725","031-762-6462","031-763-1773","gonjiam-h.goegh.kr","남녀공학","N","","N"
"경기도교육청","경기도교육청","경기도 광주시","S090000493","광주중앙고등학교","04","공립","일반고등학교","N","단설","주간","19520709","19520709","4161011200","",".","","12778","경기도 광주시 역동로63번길 1",", 광주중앙고등학교 (역동)","37.4032201","127.257149","031-799-7400","031-799-7382","https://gjja-h.goegh.kr/","남녀공학","N","","N"
"경기도교육청","경기도교육청","경기도 파주시","S090000494","광탄고등학교","04","사립","일반고등학교","N","단설","주간","19751114","19751114","4148035027","경기도 파주시 광탄면 신산리 220~610","232.","413852","10948","경기도 파주시 광탄면 혜음로1128번길 16","(광탄면)","37.783172","126.848583","031-956-0000","031-947-3338","gtan-h.goepj.kr","남녀공학","N","","N"
"경기도교육청","경기도교육청","경기도 구리시","S090000496","구리고등학교","04","공립","일반고등학교","N","단설","주간","19861201","19861201","4131010500","경기도 구리시 수택3동","785.","471828","11940","경기도 구리시 장자대로 89","(수택동, 구리고등학교)","37.5886713","127.1399845","031-556-3953","031-556-3952","https://guri-h.goegn.kr/","남","N","","N"
"경기도교육청","경기도교육청","경기도 구리시","S090000497","구리여자고등학교","04","공립","일반고등학교","N","단설","주간","19811125","19811125","4131010700","경기도 구리시 토평동","214.","471060","11945","경기도 구리시 벌말로 168",", 구리여자고등학교 (토평동)","37.5907071","127.15135","031-563-7202","031-555-5691","gurigirl-h.goegn.kr","녀","N","","N"
"경기도교육청","경기도교육청","경기도 시흥시","S090000499","군자디지털과학고등학교","04","공립","특성화고등학교","N","단설","주간","19621206","19621206","4139012700","경기도 시흥시 거모동","1418-2.","15067","15067","경기도 시흥시 군자로487번길 54","(거모동,군자디지털과학고등학교)","37.35016","126.78543","031-489-8114","031-495-5005","www.gunja.hs.kr","남녀공학","N","","N"
"경기도교육청","경기도교육청","경기도 군포시","S090000502","군포고등학교","04","사립","일반고등학교","N","단설","주간","19881202","19881202","4141010500","경기도 군포시 금정동","870-4.","435861","15833","경기도 군포시 오금로 118",", 군포고등학교 (금정동)","37.3574186","126.940206","031-395-8001","031-395-8006","www.gunpo.hs.kr","남녀공학","N","","N"
"경기도교육청","경기도교육청","경기도 군포시","S090000504","군포e비즈니스고등학교","04","공립","특성화고등학교","N","단설","주간","19941101","19941101","4141010400","경기도 군포시 산본동","1149-6.","435040","15819","경기도 군포시 수리산로 153","(산본동,군포e비즈니스고등학교)","37.3629449","126.9184053","031-390-5322","031-398-2276","https://gp-ebizgo.goegu.kr","남녀공학","N","","N"
"경기도교육청","경기도교육청","경기도 수원시 권선구","S090000505","권선고등학교","04","공립","일반고등학교","N","단설","주간","19960113","19960113","4111313700","",".","","16557","경기도 수원시 권선구 세권로 276","(권선동,권선고등학교)","37.2527975","127.0333742","031-230-0235","031-239-6144","https://kwonsun-h.goesw.kr/","남녀공학","N","","N"
"경기도교육청","경기도교육청","경기도 안양시 만안구","S090000507","근명고등학교","04","사립","특성화고등학교","N","단설","주간","19671005","19671005","4117110100","경기도 안양시 만안구 안양5동","708번지.","430834","13998","경기도 안양시 만안구 삼덕로 49","(안양동)","37.3930945","126.9200217","031-449-3567","031-446-1208","https://kmh-h.goeay.kr/kmh-h/main.do","남녀공학","N","","N"
"경기도교육청","경기도교육청","경기도 남양주시","S090000508","금곡고등학교","04","공립","일반고등학교","N","단설","주간","19590322","19590322","4136010300","경기도 남양주시 금곡동","152-18.","472802","12238","경기도 남양주시 경춘로992번길 10","(금곡동)","37.6332323","127.2136091","031-592-7081","031-592-9858","https://kumgok-h.goegn.kr","남녀공학","N","","N"
"경기도교육청","경기도교육청","경기도 용인시 기흥구","S090000509","기흥고등학교","04","공립","일반고등학교","N","단설","주간","20010105","20010105","4146310100","경기 용인시 기흥구 신갈동","161.","446598","16964","경기도 용인시 기흥구 관곡로 20",", 기흥고등학교 (신갈동)","37.2823058","127.1087937","031-679-1940","031-679-1980","https://giheung-h.goeyi.kr/","남녀공학","N","","N"
"경기도교육청","경기도교육청","경기도 김포시","S090000510","김포고등학교","04","공립","일반고등학교","N","단설","주간","19550418","19550418","4157010600","",".","","10107","경기도 김포시 봉화로 37-15",", 김포고등학교 (사우동)","37.61849","126.71263","031-984-2377","031-983-8228","https://gimpo-h.gpoe.kr","남녀공학","N","","N"
"경기도교육청","경기도교육청","경기도 김포시","S090000511","김포과학기술고등학교","04","공립","특성화고등학교","N","단설","주간","19360417","19360417","4157010100","경기도 김포시 북변동","477번지.","415030","10106","경기도 김포시 봉화로 69","(북변동, 김포과학기술고등학교)","37.620555","126.7100194","031-999-3655","031-982-9546","gpst-h.gpoe.kr","남녀공학","N","","N"
"경기도교육청","경기도교육청","경기도 성남시 분당구","S090000515","낙생고등학교","04","사립","일반고등학교","N","단설","주간","19751114","19751114","4113510800","경기도 성남시 분당구 판교동","321.","13480","13480","경기도 성남시 분당구 대왕판교로 477","(판교동)","37.3870822","127.1008908","031-780-6314","031-708-8646","https://naksaeng-h.goesn.kr","남녀공학","N","","N"
"경기도교육청","경기도교육청","경기도 양주시","S090000517","한국외식과학고등학교","04","사립","특성화고등학교","N","병설","주간","19610331","19610331","4163032021","경기도 양주시 남면 신산리","171.","482873","11404","경기도 양주시 남면 개나리18길 1",", 한국외식과학고등학교 (남면)","37.897288","126.979609","031-863-6126","031-863-8066","https://kfs-h.goedy.kr/kfs-h/main.do","남녀공학","N","","N"
"경기도교육청","경기도교육청","경기도 화성시","S090000518","남양고등학교","04","공립","일반고등학교","N","단설","주간","19540409","19540409","4159026221","경기도 화성시 남양동","1633-1.","445010","18262","경기도 화성시 남양읍 시청로45번길 23",", 남양고등학교 (남양읍)","37.209636","126.823996","031-8077-1790","031-8077-1793","https://namyang-h.goehs.kr/","남녀공학","N","","N"
"경기도교육청","경기도교육청","경기도 남양주시","S090000519","남양주고등학교","04","공립","특성화고등학교","N","단설","주간","19970301","19970301","4136025627","경기도 남양주시 화도읍 월산리","99-4.","472844","12190","경기도 남양주시 화도읍 경춘로2192번길 25","(화도읍, 남양주고등학교)","37.652933","127.334045","031-590-3700,3800","031-593-4345","https://www.goegn.kr/namyangju-h/main.do","남녀공학","N","","N"
"경기도교육청","경기도교육청","경기도 하남시","S090000520","남한고등학교","04","공립","일반고등학교","N","단설","주간","19620127","19620127","4145010800","경기도 하남시 덕풍1동","450번지.","465805","12978","경기도 하남시 신평로 25",", 남한고등학교 (덕풍동)","37.53646","127.2027372","031-790-3800","031-792-5679","https://namhan-h.goegh.kr/namhan-h/main.do","남녀공학","N","","N"
"경기도교육청","경기도교육청","경기도 고양시 덕양구","S090000521","능곡고등학교","04","공립","일반고등학교","N","단설","주간","19620301","19620301","4128112000","경기도 고양시 덕양구 토당동","394-3번지.","412818","10515","경기도 고양시 덕양구 지도로 76","(토당동)","37.623639","126.825358","031-972-1939","031-972-4784","https://nunggok-h.goegy.kr/nunggok-h/main.do","남녀공학","N","","N"
"경기도교육청","경기도교육청","경기도 안산시 단원구","S090000524","대부고등학교","04","공립","일반고등학교","N","병설","주간","19760616","19760616","4127311100","",".","","15645","경기도 안산시 단원구 대부중앙로 3","(대부북동)","37.247805","126.5785571","032-886-4272","032-886-4279","https://daebu-mh.goeas.kr/daebu-mh/main.do","남녀공학","N","","N"
"경기도교육청","경기도교육청","경기도 여주시","S090000525","대신고등학교","04","사립","일반고등학교","N","병설","주간","19550714","19550216","4167035021","경기도 여주군 대신면 후포리","258-1.","469843","12611","경기도 여주시 대신면 여양로 1196",", 대신중고등학교 (대신면)","37.364766","127.606797","031-882-8736","031-883-7944","https://daeshin-h.goeyj.kr/","남녀공학","N","","N"
"경기도교육청","경기도교육청","경기도 수원시 장안구","S090000527","대평고등학교","04","공립","일반고등학교","N","단설","주간","20010913","20010913","4111113000","",".","","16332","경기도 수원시 장안구 천천로22번길 21","(정자동,대평고등학교)","37.295375","126.9881625","031-259-3804","031-259-3969","https://daepyeong-h.goesw.kr/index.do","남녀공학","N","","N"
"경기도교육청","경기도교육청","경기도 부천시 오정구","S090000528","덕산고등학교","04","공립","일반고등학교","N","단설","주간","20020301","20020301","4119610100","",".","","14434","경기도 부천시 오정구 오정로 266번길 69","(오정동, 덕산고등학교)","37.5306694","126.7898059","032-713-4850","032-684-1092","https://duksan-h.goebc.kr","남녀공학","N","","N"
"경기도교육청","경기도교육청","경기도 남양주시","S090000529","덕소고등학교","04","사립","일반고등학교","N","단설","주간","19830428","19830428","4136025022","경기도 남양주시 와부읍 도곡리","986.","472908","12274","경기도 남양주시 와부읍 덕소로 194","(와부읍,덕소고등학교)","37.5789305","127.2161087","031-577-1731","031-577-7830","http://deokso-h.goegn.kr","남녀공학","N","","N"
"경기도교육청","경기도교육청","경기도 양주시","S090000532","덕정고등학교","04","공립","일반고등학교","N","단설","주간","19990504","19990122","4163011500","경기도 양주시 고암동","121-1.","11454","11454","경기도 양주시 화합로 1488","(고암동)","37.8372134","127.0718356","031-858-6383","031-858-6384","https://deokjeong-h.goedy.kr/","남녀공학","N","","N"
"경기도교육청","경기도교육청","경기도 부천시 원미구","S090000533","도당고등학교","04","공립","일반고등학교","N","단설","주간","19990201","19990201","4119210400","경기도 부천시 원미구 도당동","64번지.","14481","14481","경기도 부천시 원미구 삼작로256번길 53-3","(도당동, 도당고등학교)","37.518801","126.790336","032-680-8514","032-677-0848","dodang-h.goebc.kr","남녀공학","N","","N"
"경기도교육청","경기도교육청","경기도 포천시","S090000534","동남고등학교","04","사립","일반고등학교","N","단설","주간","19590321","19590321","4165025021","경기도 포천시 소흘읍 송우1리","537-1.","487823","11176","경기도 포천시 소흘읍 솔모루로3번길 69","(소흘읍,동남고등학교)","37.827792","127.13512","031-540-5520","031-542-0146","http://dongnam-h.goepc.kr","남녀공학","N","","N"
"경기도교육청","경기도교육청","경기도 동두천시","S090000536","동두천고등학교","04","사립","일반고등학교","N","단설","주간","19630129","19630129","4125010300","경기도 동두천시 생연동","산44번지.","483707","11314","경기도 동두천시 평화로2434번길 8","(생연동,동두천고등학교)","37.9047328","127.0592394","031-860-1300","031-865-9287","https://tdc-h.goedy.kr/tdc-h/main.do","남녀공학","N","","N"
"경기도교육청","경기도교육청","경기도 동두천시","S090000538","한국문화영상고등학교","04","사립","특성화고등학교","N","단설","주간","19691117","19691117","4125010300","경기도 동두천시 생연동","산43번지.","483030","11314","경기도 동두천시 평화로2452번길 32",", (한국문화영상고등학교 (생연동)","37.9058441","127.0603907","031-860-7300","031-864-0852","https://kcm-h.goedy.kr","남녀공학","N","","N"
"경기도교육청","경기도교육청","경기도 동두천시","S090000539","동두천중앙고등학교","04","공립","일반고등학교","N","단설","주간","19741129","19741129","4125010200","경기도 동두천시 지행동","340번지.","483721","11363","경기도 동두천시 평화로 2280","(지행동)","37.8916508","127.0580627","031-860-1200","031-863-0420","http://ddcja-h.goedy.kr","남녀공학","N","","N"
"경기도교육청","경기도교육청","경기도 안양시 동안구","S090000541","동안고등학교","04","공립","일반고등학교","N","단설","주간","19940228","19940228","4117310300","",".","","14070","경기도 안양시 동안구 부림로 71","(평촌동,동안고등학교)","37.3902827","126.9658901","031-387-6105","031-387-6108","dongan-h.goeay.kr","남녀공학","N","","N"
"경기도교육청","경기도교육청","경기도 수원시 장안구","S090000542","동우여자고등학교","04","사립","일반고등학교","N","단설","주간","19870701","19870701","4111113100","경기도 수원시 장안구 이목동","28-12.","440310","16208","경기도 수원시 장안구 장안로 426-1",", 동우여자고등학교 (이목동)","37.3191209","126.9829372","031-259-4023","031-247-3315","dwg-h.goesw.kr","녀","N","","N"
"경기도교육청","경기도교육청","경기도 수원시 장안구","S090000543","동원동우고등학교","04","사립","일반고등학교","N","단설","주간","19851227","19851227","4111113100","경기도 수원시 장안구 이목동","산 28-12.","440310","16208","경기도 수원시 장안구 장안로 426-1",", 동원고등학교 (이목동)","37.3199","126.9824","031-259-4000","031-241-5273","https://dongwon-h.goesw.kr","남","N","","N"
"경기도교육청","경기도교육청","경기도 평택시","S090000544","동일공업고등학교","04","사립","특성화고등학교","N","단설","주간","19770926","19770926","4122011800","경기도 평택시 비전동","135-4.","450152","17873","경기도 평택시 중앙로 315","(비전동)","36.9","127.1","031-653-6335","031-653-6332","di.hs.kr","남녀공학","N","","N"
"경기도교육청","경기도교육청","경기도 남양주시","S090000545","동화고등학교","04","사립","일반고등학교","N","단설","주간","19730605","19730605","4136011200","경기도 남양주시 도농동 동화중고교","106번지.","472708","12259","경기도 남양주시 경춘로 434","(다산동, 동화중고교)","37.607573","127.162984","031-551-0527","031-551-7811","www.donghwa.hs.kr","남녀공학","N","","N"
"경기도교육청","경기도교육청","경기도 화성시","S090000546","두레자연고등학교","04","사립","특성화고등학교","N","단설","주간","19990305","19990305","4159025600","경기도 화성시 우정읍","화산7리 692-11번지.","445950","18569","경기도 화성시 우정읍 두레길 42","(우정읍, 두레자연고등학교)","37.059538","126.795491","031-358-8183","031-351-8776","https://dure-h.goehs.kr/","남녀공학","N","","N"
"경기도교육청","경기도교육청","경기도 이천시","S090000548","마장고등학교","04","공립","일반고등학교","N","병설","주간","19751114","19751114","4150034022","경기도 이천시 마장면 양촌리","54번지.","467814","17387","경기도 이천시 마장면 마도로 23",", 마장고등학교 (마장면, 마장중고등학교)","37.2582391","127.3512629","031-632-2080","031-632-6802","majanghigh.goeic.kr","남녀공학","N","","N"
"경기도교육청","경기도교육청","경기도 수원시 팔달구","S090000552","매향여자정보고등학교","04","사립","특성화고등학교","N","단설","주간","19020603","19020603","4111512800","경기도 수원시 팔달구 매향동","110-2 매향여자정보고등학교.","442160","16254","경기도 수원시 팔달구 수원천로 350",", 매향여자정보고등학교 (매향동)","37.2845735547","127.0186216887","031-2590-700","031-2590-710","www.maehyang.hs.kr","녀","N","","N"
"경기도교육청","경기도교육청","경기도 고양시 덕양구","S090000553","무원고등학교","04","공립","일반고등학교","N","단설","주간","19970301","19970301","4128112800","경기도 고양시 덕양구 행신동","977번지.","412220","10518","경기도 고양시 덕양구 화신로 65","(행신동)","37.6190366","126.8380748","031-930-0794","031-930-0796","https://moowon-h.goegy.kr","남녀공학","N","","N"
"경기도교육청","경기도교육청","경기도 파주시","S090000554","문산고등학교","04","공립","일반고등학교","N","병설","주간","19610410","19610228","4148025022","경기도 파주시 문산읍 당동리","149번지.","10819","10819","경기도 파주시 문산읍 당동1로 22",", 문산고등학교 (문산읍)","37.8629429839","126.7759095849","031-950-9600","031-953-5149","https://munsan-h.goepj.kr/","남녀공학","N","","N"
"경기도교육청","경기도교육청","경기도 파주시","S090000555","문산수억고등학교","04","사립","일반고등학교","N","단설","주간","19691222","19691222","4148025321","",".","","10836","경기도 파주시 파주읍 우계로 357","(파주읍)","37.851959","126.802929","031-952-2666","031-953-2307","https://munsansueok-h.goepj.kr","남녀공학","N","","N"
